"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Director","1.0","Director-{academy_awards_3001}","{George Seaton}","George Seaton",,
"Title","1.0","Title-{golden_globes_2252|actors_23|academy_awards_3252}","{Born Yesterday|Born Yesterday|Born Yesterday}","Born Yesterday",,
"Date","0.0","Date-{academy_awards_3910|actors_92}","{1941-01-01T00:00|1942-01-01T00:00}","1941-01-01T00:00","true","1941-01-01T00:00"
"Date","0.6666666666666666","Date-{academy_awards_2566|actors_113|golden_globes_2093}","{1962-01-01T00:00|1963-01-01T00:00|1963-01-01T00:00}","1963-01-01T00:00",,
"Date","0.6666666666666666","Date-{golden_globes_1286|academy_awards_1383|actors_133}","{1986-01-01T00:00|1985-01-01T00:00|1986-01-01T00:00}","1986-01-01T00:00",,
"Title","0.5","Title-{actors_126|academy_awards_1880|golden_globes_1733|actors_49}","{One Flew Over The Cuckoo's Nes|One Flew over the Cuckoo's Nest|One Flew Over The Cuckoo''s Nest|One Flew Over The Cockoo�s Nes}","One Flew Over The Cuckoo's Nes","false","One Flew over the Cuckoo's Nest"
"Date","0.0","Date-{academy_awards_4557|actors_1}","{1927-01-01T00:00|1929-01-01T00:00}","1927-01-01T00:00",,
"Actors","1.0","Actors-{golden_globes_1566|actors_53|academy_awards_1680}","{[[Actor: Sally Field]]|[[Actor: Sally Field]]|[[Actor: Sally Field]]}","[[Actor: Sally Field]]",,
"Date","0.6666666666666666","Date-{actors_132|golden_globes_1330|academy_awards_1430}","{1985-01-01T00:00|1985-01-01T00:00|1984-01-01T00:00}","1985-01-01T00:00","false","1984-01-01T00:00"
"Date","0.6666666666666666","Date-{actors_42|golden_globes_1963|academy_awards_2233}","{1969-01-01T00:00|1969-01-01T00:00|1968-01-01T00:00}","1969-01-01T00:00",,
"Title","1.0","Title-{golden_globes_1388|academy_awards_1487|actors_131}","{Tender Mercies|Tender Mercies|Tender Mercies}","Tender Mercies",,
